GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JPackage Maven Plugin,ru.akman.maven.plugins.jpackage,ModulePath,16,15,0,0,8,5,4,5,4,5
JPackage Maven Plugin,ru.akman.maven.plugins.jpackage,HelpMojo,763,0,108,0,153,0,70,0,16,0
JPackage Maven Plugin,ru.akman.maven.plugins.jpackage,DependencySet,16,29,0,0,8,11,4,9,4,9
JPackage Maven Plugin,ru.akman.maven.plugins.jpackage,Launcher,118,56,18,0,32,21,15,16,6,16
JPackage Maven Plugin,ru.akman.maven.plugins.jpackage,JPackageMojo,2469,8,338,0,572,2,212,1,40,1
JPackage Maven Plugin,ru.akman.maven.plugins.jpackage,PackageType,0,51,0,0,0,9,0,1,0,1
JPackage Maven Plugin,ru.akman.maven.plugins.jpackage,PluginUtils,500,25,17,3,184,7,23,2,14,1
JPackage Maven Plugin,ru.akman.maven.plugins,BaseToolMojo,1237,6,182,0,273,2,129,1,38,1
JPackage Maven Plugin,ru.akman.maven.plugins,CommandLineBuilder,50,0,0,0,14,0,7,0,7,0
JPackage Maven Plugin,ru.akman.maven.plugins,CommandLineOption,36,0,0,0,10,0,4,0,4,0
